round,segment,label,inside_pop_to_done,count,p50_us,p90_us,p99_us,max_us
equiv300_split,tick_to_signal_us,tick recv -> strategy decision,0,15326,1086,1475,1751,2110
equiv300_split,signal_to_pop_us,strategy decision -> order thread pop,0,15326,5328,8788,303504,306979
equiv300_split,gate_us,order gate check,1,15326,1,2,14,32
equiv300_split,history_guard_us,order history lock + duplicate guard,1,15326,0,2,14,561
equiv300_split,history_lock_wait_us,  of which: waiting for the lock,1,15326,0,2,13,559
equiv300_split,journal_us,ledger write-ahead (disk),1,15326,0,0,1,25
equiv300_split,bucket_wait_us,broker rate limit queueing,1,15326,0,0,0,0
equiv300_split,transport_us,order send -> broker response (round trip),1,15326,0,1,1,17
equiv300_split,record_us,"after send: accept, publish, history, ledger csv",1,15326,7,12,21,296738
equiv300_split,open_orders_us,  of which: pending-order file rewrite,1,15326,0,0,0,5
equiv300_split,pop_to_done_us,pop -> router return (holds the six above),0,15326,10,20,39,296745
equiv300_split,total_us,tick recv -> router return (whole chain),0,15326,6467,10144,303524,307325
