round,segment,label,inside_pop_to_done,count,p50_us,p90_us,p99_us,max_us
peak100k_split,tick_to_signal_us,tick recv -> strategy decision,0,79845,29,688,9516,21153
peak100k_split,signal_to_pop_us,strategy decision -> order thread pop,0,79845,1532,77581,114143,280720
peak100k_split,gate_us,order gate check,1,79845,2,56,91,778
peak100k_split,history_guard_us,order history lock + duplicate guard,1,79845,1,15,20,281574
peak100k_split,history_lock_wait_us,  of which: waiting for the lock,1,79845,0,14,19,281574
peak100k_split,journal_us,ledger write-ahead (disk),1,79845,0,1,69,175
peak100k_split,bucket_wait_us,broker rate limit queueing,1,79845,0,0,0,0
peak100k_split,transport_us,order send -> broker response (round trip),1,79845,1,2,2,297
peak100k_split,record_us,"after send: accept, publish, history, ledger csv",1,79845,16,22,30,461
peak100k_split,open_orders_us,  of which: pending-order file rewrite,1,79845,0,0,2,72
peak100k_split,pop_to_done_us,pop -> router return (holds the six above),0,79845,32,85,122,281615
peak100k_split,total_us,tick recv -> router return (whole chain),0,79845,1644,79190,122142,287431
